en_name,jp_name,cuisine,rating,price,url
ichiyaboshitokaisendondekitateya,一夜干しと海鮮丼 できたて屋 ステラプレイス店,海鮮蓋飯/魚類料理・海鮮料理/定食、食堂,3.53,"￥3,000～￥3,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1070212/
Sushizen,すし善 大丸札幌店,壽司/魚類料理・海鮮料理/海鮮蓋飯,3.48,"￥5,000～￥5,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1000055/
Azabusabousapporotoukyuuten,麻布茶房 さっぽろ東急店,釜飯/日式甜點店,3.04,"￥1,000～￥1,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1054175/
kajuukouboukarin,果汁工房 果琳 札幌アピア店,果汁吧,3.07,～￥999,https://tabelog.com/tw/hokkaido/A0101/A010101/1055399/
Noukanomusuko,農家の息子 大丸札幌店,熟食/便當,3.22,"￥1,000～￥1,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1063166/
CAUSETTE,コゼット,咖啡店,3.29,～￥999,https://tabelog.com/tw/hokkaido/A0101/A010101/1015302/
Yakitorinihonichi,焼とり日本一 札幌エスタ店,烤雞串/熟食,3.03,"￥2,000～￥2,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1029247/
Pomunoki,ポムの樹 札幌ステラプレイス店,蛋包飯,3.19,"￥1,000～￥1,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1001883/
AfternoonTea Tea Room,アフタヌーンティー・ティールーム 札幌大丸店,咖啡店/紅茶專賣店,3.12,"￥1,000～￥1,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1005969/
Nemurohanamaru,根室花まる JRタワーステラプレイス店,回轉壽司,3.59,"￥1,000～￥1,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1001102/
Le TAO,ルタオ 大丸札幌店,蛋糕/巧克力,3.27,"￥1,000～￥1,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1008483/
Kissarira,喫茶りら 駅前店,喫茶店/拉麵/咖哩飯,3.29,～￥999,https://tabelog.com/tw/hokkaido/A0101/A010101/1021548/
Kineya,杵屋 札幌アピア店,烏龍麵/蕎麥麵,3.22,～￥999,https://tabelog.com/tw/hokkaido/A0101/A010101/1004716/
Gyouzatokarezanginomisetenshinsapporo,餃子とカレーザンギの店 点心札幌 エスタ店,餃子/中國菜/日式小酒館,3.47,"￥1,000～￥1,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1064132/
Ajihyakusen,味百仙,日式小酒館/日本酒/魚類料理・海鮮料理,3.7,"￥4,000～￥4,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1000037/
tsukidigindako,築地銀だこ 札幌エスタ店,章魚燒,3.04,～￥999,https://tabelog.com/tw/hokkaido/A0101/A010101/1053757/
Azabukarinto,麻布かりんと 大丸札幌店,日式點心,3.04,～￥999,https://tabelog.com/tw/hokkaido/A0101/A010101/1037205/
risutoranteandoba-itaria-namiaanjera,RISTORANTE&BAR ITALIANA ミア アンジェラ 大丸札幌店,義式/義大利麵/披薩,3.43,"￥3,000～￥3,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1004797/
SATURDAYS Stand,サタデイズ スタンド,咖啡店/巧克力,3.42,～￥999,https://tabelog.com/tw/hokkaido/A0101/A010101/1057969/
furenchiresutorammikunisapporo,フレンチレストラン ミクニ サッポロ,法式,3.65,"￥10,000～￥14,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1000044/
sumibiizakayaen,炭火居酒屋 炎 札幌駅北口店,日式小酒館/烤雞串/鍋類（其他）,3.05,"￥2,000～￥2,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1048034/
Kojikona,コージーコーナー,喫茶店/咖啡專賣店/西式甜點（其他）,3.17,～￥999,https://tabelog.com/tw/hokkaido/A0101/A010101/1001223/
Kantonkicchin,広東厨房 大丸札幌店,中國菜/便當,3.33,～￥999,https://tabelog.com/tw/hokkaido/A0101/A010101/1037340/
Hoterurutoin,ホテル ルートイン 札幌駅前北口,旅館・客棧（其他）,3.17,"￥8,000～￥9,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1039432/
Wantsuchi,万豚記 札幌店,中國菜/飲茶・點心/拉麵,3.25,"￥1,000～￥1,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1007911/
Jupita,ジュピター 札幌店,其他,3.17,～￥999,https://tabelog.com/tw/hokkaido/A0101/A010101/1042973/
